route_id,stop_id_ori,stop_id_des,restriction
501301,5403200207,5012010208,1
501301,5403200207,5403010117,1
501301,5403200207,5403010118,1
501301,5012010208,5403010117,1
501301,5012010208,5403010118,1
501301,5403010117,5403010118,1
501301,5403010118,5403010117,1
501301,5403010118,5012010208,1
501301,5403010118,5403200104,1
501301,5403010117,5012010208,1
501301,5403010117,5403200104,1
501301,5012010208,5403200104,1
510201,5105080122,5108110211,1
510201,5102020216,5108110211,1
510201,5108110205,5108110211,1
510201,5108110211,5106040111,1
510201,5108110211,5102020216,1
510201,5108110211,5105080122,1
510202,5102020101,5105040106,1
510202,5102020101,5102020104,1
510202,5102020101,5102020122,1
510202,5102020101,5108110211,1
510202,5102020101,5102020124,1
510202,5102020101,5107040109,1
510202,5102020102,5105040106,1
510202,5102020102,5102020104,1
510202,5102020102,5102020122,1
510202,5102020102,5108110211,1
510202,5102020102,5102020124,1
510202,5102020102,5107040109,1
510202,5105040106,5102020104,1
510202,5105040106,5102020122,1
510202,5105040106,5108110211,1
510202,5105040106,5102020124,1
510202,5105040106,5107040109,1
510202,5102020104,5102020122,1
510202,5102020104,5108110211,1
510202,5102020104,5102020124,1
510202,5102020104,5107040109,1
510202,5105170205,5102020122,1
510202,5105170205,5108110211,1
510202,5105170205,5102020124,1
510202,5105170205,5107040109,1
510202,5101010101,5102020122,1
510202,5101010101,5108110211,1
510202,5101010101,5102020124,1
510202,5101010101,5107040109,1
510202,5102020107,5102020122,1
510202,5102020107,5108110211,1
510202,5102020107,5102020124,1
510202,5102020107,5107040109,1
510202,5102020108,5102020122,1
510202,5102020108,5108110211,1
510202,5102020108,5102020124,1
510202,5102020108,5107040109,1
510202,5102020109,5102020122,1
510202,5102020109,5108110211,1
510202,5102020109,5102020124,1
510202,5102020109,5107040109,1
510202,5102020110,5102020112,1
510202,5102020110,5102020113,1
510202,5102020110,5105080107,1
510202,5102020110,5102020115,1
510202,5102020110,5105100209,1
510202,5102020110,5102020117,1
510202,5102020110,5105080119,1
510202,5102020110,5105080122,1
510202,5102020110,5102020216,1
510202,5102020110,5108110205,1
510202,5102020110,5102020122,1
510202,5102020110,5108110211,1
510202,5102020110,5102020124,1
510202,5102020110,5107040109,1
510202,5102020110,5106050202,1
510202,5102020110,5102020127,1
510202,5102020110,5102020128,1
510202,5102020110,5106010205,1
510202,5102020110,5102010105,1
510202,5102020110,5102010106,1
510202,5102020110,5106010209,1
510202,5102020110,5102010108,1
510202,5102020110,5252050117,1
510202,5102020111,5102020112,1
510202,5102020111,5102020113,1
510202,5102020111,5105080107,1
510202,5102020111,5102020115,1
510202,5102020111,5105100209,1
510202,5102020111,5102020117,1
510202,5102020111,5105080119,1
510202,5102020111,5105080122,1
510202,5102020111,5102020216,1
510202,5102020111,5108110205,1
510202,5102020111,5102020122,1
510202,5102020111,5108110211,1
510202,5102020111,5102020124,1
510202,5102020111,5107040109,1
510202,5102020111,5106050202,1
